ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
15001,50000.0,2,1,2,22,0,0,0,-1,-1,-2,24763.0,33542.0,30455.0,2000.0,0.0,0.0,10000.0,1175.0,2000.0,0.0,0.0,0.0,1
15002,80000.0,2,1,2,24,-1,0,0,0,0,0,75356.0,78236.0,77700.0,58025.0,59527.0,60778.0,5000.0,4176.0,4000.0,3000.0,2141.0,3000.0,0
15003,90000.0,2,2,1,28,0,0,0,0,0,0,24657.0,25743.0,26406.0,24364.0,19726.0,19166.0,1500.0,1500.0,1508.0,1000.0,1000.0,800.0,0
15004,50000.0,2,2,1,27,-1,-1,-1,-1,-1,-1,492.0,492.0,492.0,492.0,492.0,470.0,493.0,493.0,493.0,493.0,471.0,7739.0,0
15005,270000.0,2,2,1,32,0,0,0,0,0,0,116315.0,119103.0,122249.0,123905.0,105064.0,105600.0,6500.0,6843.0,6284.0,3617.0,3716.0,4035.0,0
15006,60000.0,2,2,2,34,1,2,0,0,0,0,64684.0,63036.0,60031.0,27725.0,28282.0,30268.0,0.0,2459.0,1433.0,990.0,2419.0,0.0,0
15007,240000.0,2,2,1,35,-2,-2,-2,-2,-2,-2,3862.0,1780.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,0.0,0.0,2500.0,0
15008,240000.0,1,1,2,36,0,0,0,0,0,0,131477.0,126941.0,62378.0,20156.0,157391.0,158991.0,6009.0,3017.0,1048.0,150004.0,5613.0,5809.0,0
15009,30000.0,1,3,1,43,1,3,2,2,2,2,22494.0,21845.0,21207.0,23491.0,22818.0,24321.0,0.0,0.0,2645.0,0.0,2029.0,1027.0,1
15010,50000.0,1,2,2,42,1,2,0,0,0,0,51047.0,47924.0,49053.0,50106.0,17756.0,18072.0,0.0,2200.0,2180.0,1000.0,1000.0,800.0,0
15011,370000.0,1,2,2,33,0,0,0,2,0,0,72322.0,74758.0,78423.0,81017.0,81698.0,83562.0,4252.0,5500.0,4500.0,2926.0,3182.0,3043.0,0
15012,50000.0,1,2,1,34,1,2,0,0,0,0,49372.0,47420.0,47992.0,49278.0,28086.0,30196.0,0.0,2500.0,3500.0,1000.0,3397.0,0.0,0
